iter	Passed	Remaining
0	14	7010
1	73	18188
2	129	21392
3	180	22326
4	233	23163
5	296	24437
6	355	25054
7	406	25004
8	461	25191
9	513	25151
10	564	25100
11	614	24998
12	664	24891
13	724	25134
14	783	25330
15	798	24157
16	852	24233
17	905	24246
18	941	23823
19	998	23973
20	1058	24136
21	1112	24175
22	1172	24325
23	1196	23731
24	1252	23796
25	1309	23878
26	1361	23847
27	1416	23883
28	1470	23879
29	1522	23848
30	1575	23839
31	1630	23841
32	1681	23794
33	1736	23795
34	1790	23790
35	1840	23721
36	1889	23641
37	1939	23577
38	1985	23471
39	2033	23383
40	2079	23282
41	2123	23159
42	2171	23075
43	2220	23015
44	2265	22906
45	2314	22841
46	2358	22733
47	2404	22638
48	2452	22574
49	2502	22523
50	2555	22499
51	2608	22474
52	2663	22464
53	2673	22078
54	2723	22036
55	2768	21953
56	2816	21893
57	2865	21837
58	2912	21771
59	2961	21715
60	3007	21646
61	3054	21577
62	3102	21518
63	3151	21467
64	3196	21394
65	3244	21334
66	3288	21254
67	3296	20943
68	3343	20885
69	3393	20844
70	3435	20757
71	3478	20675
72	3520	20590
73	3564	20520
74	3608	20446
75	3622	20208
76	3639	19996
77	3685	19938
78	3731	19885
79	3779	19844
80	3823	19776
81	3872	19738
82	3915	19670
83	3940	19513
84	3983	19450
85	4028	19391
86	4074	19341
87	4118	19282
88	4165	19236
89	4210	19183
90	4256	19130
91	4302	19078
92	4345	19017
93	4387	18949
94	4430	18888
95	4477	18841
96	4525	18803
97	4533	18597
98	4582	18561
99	4632	18528
100	4680	18489
101	4729	18452
102	4770	18389
103	4783	18215
104	4827	18160
105	4870	18102
106	4917	18062
107	4962	18010
108	5007	17962
109	5052	17912
110	5092	17846
111	5137	17798
112	5185	17759
113	5226	17695
114	5272	17650
115	5283	17489
116	5329	17447
117	5379	17415
118	5426	17375
119	5472	17330
120	5519	17287
121	5559	17225
122	5606	17185
123	5655	17148
124	5697	17092
125	5742	17045
126	5791	17009
127	5831	16947
128	5878	16905
129	5920	16850
130	5966	16805
131	6012	16762
132	6057	16715
133	6104	16674
134	6144	16612
135	6197	16588
136	6242	16540
137	6289	16499
138	6338	16461
139	6385	16420
140	6432	16377
141	6479	16335
142	6531	16306
143	6583	16275
144	6641	16259
145	6693	16228
146	6751	16213
147	6802	16179
148	6852	16142
149	6899	16098
150	6954	16074
151	7002	16031
152	7051	15992
153	7099	15951
154	7146	15907
155	7194	15865
156	7239	15816
157	7285	15769
158	7331	15723
159	7382	15687
160	7430	15646
161	7478	15603
162	7523	15554
163	7571	15512
164	7621	15474
165	7671	15435
166	7716	15386
167	7765	15345
168	7814	15305
169	7864	15266
170	7915	15229
171	7964	15187
172	8011	15143
173	8056	15093
174	8101	15046
175	8145	14994
176	8189	14945
177	8233	14894
178	8281	14851
179	8331	14812
180	8380	14770
181	8427	14724
182	8474	14680
